Ship_type,Size_category,Unit,Ship_2030_ex,Ship_2030,Ship_2050,DWT,Installed_Power_(KW),Design_Speed_(knots),Service_Speed_(knots),Days_at_sea,SFOC_LSFO_(g/KWh),SFOC_LNG_(g/KWh),SFOC_Hydrogen_(g/KWh),SFOC_Biodiesel_(g/KWh),SFOC_Methanol_(g/KWh),Main,Auxiliary,Boiler,consumption_HFO_(tonnes),consumption_HFO_(tonnes)_IMO,error,consumption_LSFO_(tonnes),consumption_LNG_(tonnes),consumption_Hydrogen_(tonnes),consumption_Biodiesel_(tonnes),consumption_Methanol_(tonnes),CAPEX_LNG_($/KW),CAPEX_Hydrogen_($/KW),CAPEX_Biodiesel_($/KW),CAPEX_Methanol_($/KW),payback_10,payback_5,2030_price_LSFO_($/ton),2030_price_LNG_($/ton),2030_price_Hydrogen_($/ton),2030_price_Biodiesel_($/ton),2030_price_Methanol_($/ton),2050_price_LSFO_($/ton),2050_price_LNG_($/ton),2050_price_Hydrogen_($/ton),2050_price_Biodiesel_($/ton),2050_price_Methanol_($/ton)
Liquefied gas tanker,"50,000-199,999",cbm,388,215.962855923172,569,69964,23407,18.5,14.9,254,179,150,57,187,381,=((J21^3/I21^3)+0.1)*K21*24*195*0.000001*H21,4.1,0.6,=Q21+R21*1000+S21*1000,22600,=U21-T21,=T21*179/195,=W21*M21/L21,=W21*N21/L21,=W21*O21/L21,=W21*P21/L21,1650,5300,0,950,6.90954712937936,3.49386226773204,716,548,1726.2,1162.5,451,716,548,1726.2,1162.5,451
Liquefied gas tanker,"200,000+",cbm,45,3.88301283427725,66.4342308452104,121311,36751,19.3,16.9,277,179,150,57,187,381,=((J22^3/I22^3)+0.1)*K22*24*195*0.000001*H22,4,1,=Q22+R22*1000+S22*1000,38500,=U22-T22,=T22*179/195,=W22*M22/L22,=W22*N22/L22,=W22*O22/L22,=W22*P22/L22,1650,5300,0,950,6.90954712937936,3.49386226773204,716,548,1726.2,1162.5,451,716,548,1726.2,1162.5,451
Oil tanker,"0-4,999",dwt,719,1750.57564938733,2393,2215,1308,11.5,8.7,144,179,150,57,187,381,=((J23^3/I23^3)+0.1)*K23*24*195*0.000001*H23,0.6,0.2,=Q23+R23*1000+S23*1000,1400,=U23-T23,=T23*179/195,=W23*M23/L23,=W23*N23/L23,=W23*O23/L23,=W23*P23/L23,1650,5300,0,950,6.90954712937936,3.49386226773204,716,548,1726.2,1162.5,451,716,548,1726.2,1162.5,451
Oil tanker,"5,000-9,999",dwt,410,121.474651325918,502,6791,2719,12.6,9.1,147,179,150,57,187,381,=((J24^3/I24^3)+0.1)*K24*24*195*0.000001*H24,1,0.3,=Q24+R24*1000+S24*1000,2400,=U24-T24,=T24*179/195,=W24*M24/L24,=W24*N24/L24,=W24*O24/L24,=W24*P24/L24,1650,5300,0,950,6.90954712937936,3.49386226773204,716,548,1726.2,1162.5,451,716,548,1726.2,1162.5,451
Oil tanker,"10,000-19,999",dwt,83,72.8794368414006,152,14569,4361,13.4,9.6,149,179,150,57,187,381,=((J25^3/I25^3)+0.1)*K25*24*195*0.000001*H25,1.7,0.4,=Q25+R25*1000+S25*1000,3800,=U25-T25,=T25*179/195,=W25*M25/L25,=W25*N25/L25,=W25*O25/L25,=W25*P25/L25,1650,5300,0,950,6.90954712937936,3.49386226773204,716,548,1726.2,1162.5,451,716,548,1726.2,1162.5,451
Oil tanker,"20,000-59,999",dwt,222,226.338951677171,415,44279,8919,14.8,11.7,164,179,150,57,187,381,=((J26^3/I26^3)+0.1)*K26*24*195*0.000001*H26,2,0.6,=Q26+R26*1000+S26*1000,6300,=U26-T26,=T26*179/195,=W26*M26/L26,=W26*N26/L26,=W26*O26/L26,=W26*P26/L26,1650,5300,0,950,6.90954712937936,3.49386226773204,716,548,1726.2,1162.5,451,716,548,1726.2,1162.5,451
Oil tanker,"60,000-79,999",dwt,219,83.8514772918639,290,72816,11985,15.1,12.2,183,179,150,57,187,381,=((J27^3/I27^3)+0.1)*K27*24*195*0.000001*H27,1.9,0.6,=Q27+R27*1000+S27*1000,7300,=U27-T27,=T27*179/195,=W27*M27/L27,=W27*N27/L27,=W27*O27/L27,=W27*P27/L27,1650,5300,0,950,6.90954712937936,3.49386226773204,716,548,1726.2,1162.5,451,716,548,1726.2,1162.5,451
Oil tanker,"80,000-119,999",dwt,507,203.36486217724,657,108612,13472,15.3,11.6,186,179,150,57,187,381,=((J28^3/I28^3)+0.1)*K28*24*195*0.000001*H28,2.6,0.8,=Q28+R28*1000+S28*1000,8300,=U28-T28,=T28*179/195,=W28*M28/L28,=W28*N28/L28,=W28*O28/L28,=W28*P28/L28,1650,5300,0,950,6.90954712937936,3.49386226773204,716,548,1726.2,1162.5,451,716,548,1726.2,1162.5,451
Oil tanker,"120,000-199,999",dwt,288,102.44087513608,374,155786,17840,16,11.7,206,179,150,57,187,381,=((J29^3/I29^3)+0.1)*K29*24*195*0.000001*H29,3.1,1,=Q29+R29*1000+S29*1000,12100,=U29-T29,=T29*179/195,=W29*M29/L29,=W29*N29/L29,=W29*O29/L29,=W29*P29/L29,1650,5300,0,950,6.90954712937936,3.49386226773204,716,548,1726.2,1162.5,451,716,548,1726.2,1162.5,451
Oil tanker,"200,000+",dwt,414,210.978204918986,713.725110017482,307976,27474,16,12.5,233,179,150,57,187,381,=((J30^3/I30^3)+0.1)*K30*24*195*0.000001*H30,3.6,1.1,=Q30+R30*1000+S30*1000,20000,=U30-T30,=T30*179/195,=W30*M30/L30,=W30*N30/L30,=W30*O30/L30,=W30*P30/L30,1650,5300,0,950,6.90954712937936,3.49386226773204,716,548,1726.2,1162.5,451,716,548,1726.2,1162.5,451
,,,,,,,,,,,,,,,,,,,,,=SUM(V2:V30),,,,,,,,,,,,,,,,,,,,,
